ID,Field_11_0_0_54935_000_lang
3,|cnWHITE_FONT_COLOR:Lost Keepsakes|r|nRecover stolen keepsakes from invading kobolds!
4,|cnWHITE_FONT_COLOR:Swarming Kobolds|r|nKobolds have taken over Kriegval's Rest and need to be kicked out!
5,|cnWHITE_FONT_COLOR:Dagran's Day Out|r|nDagran Thaurissan II is looking for help to get some in the field training.
6,|cnWHITE_FONT_COLOR:NYI|r|n
7,|cnWHITE_FONT_COLOR:Dark Ritual|r|nThe Order of Night are performing a profane ritual to corrupt the area!
8,|cnWHITE_FONT_COLOR:Kyron's Assault|r|nGreat Kyron is launching an assault on Nightfall Sanctum and needs your help!
9,|cnWHITE_FONT_COLOR:Signal Noise|r|nFinish the job of slain lamplighters to rescue hostages from the Order of Night.
10,|cnWHITE_FONT_COLOR:NYI|r|n
11,|cnWHITE_FONT_COLOR:Torture Victims|r|nEvolved Nerubians are torturing prisoners within the Underkeep.
12,|cnWHITE_FONT_COLOR:Weaver Rescue|r|nThree of the Weaver's agents are being held captive within the Underkeep.
13,|cnWHITE_FONT_COLOR:Evolved Research|r|nAn evolved nerubian researcher is performing twisted experiments.
14,|cnWHITE_FONT_COLOR:Runaway Evolution|r|nAn experiment in the Underkeep has gone wrong and threatens to escape out.
15,|cnWHITE_FONT_COLOR:Lost Miners|r|nRescue a group of earthen miners who have been captured by fungarians.
16,|cnWHITE_FONT_COLOR:Spreading Decay|r|nA Kirin Tor mage is trying to push back the spreading fungarian decay.
17,|cnWHITE_FONT_COLOR:Explorer's Competition|r|nMembers of the Explorers' League have begun a friendly competition deep within the cave.
18,|cnWHITE_FONT_COLOR:NYI|r|n
19,|cnWHITE_FONT_COLOR:Missing Pigs|r|nA farmer's pigs have gone missing in the caverns and needs to be recovered.
20,|cnWHITE_FONT_COLOR:The Great Scavenger Hunt|r|nChef Dinaire is hosting a scavenger hunt.
21,|cnWHITE_FONT_COLOR:NYI|r|n
22,|cnWHITE_FONT_COLOR:Mushroom Morsel|r|nAliya Hillhelm needs help recovering a mushroom from a particularly nasty monster.
23,|cnWHITE_FONT_COLOR:Captured Engineers|r|nKobolds have taken over the Waterworks and kidnapped the engineers that help run it.
24,|cnWHITE_FONT_COLOR:Trust Issues|r|nAid a kobold and a machine speaker in recovering treasures within the Waterworks.
25,|cnWHITE_FONT_COLOR:Stomping Some Sense|r|nThe machine speakers need help testing a device to recover stolen materials.
26,|cnWHITE_FONT_COLOR:NYI|r|n
27,|cnWHITE_FONT_COLOR:Illusory Rescue|r|nRescue Arathor who have been kidnapped by the Kobyss.
28,|cnWHITE_FONT_COLOR:NYI|r|n
29,|cnWHITE_FONT_COLOR:Raen's Gambit|r|nRaen Dawncavalyr is looking for help in recovering relics stolen by the kobyss.
30,|cnWHITE_FONT_COLOR:Lurking Terror|r|nThe kobyss are attempting to control something from the depths of the world.
31,|cnWHITE_FONT_COLOR:Goblin Mischief|r|nInvestigate the Goblin presence within Tak-Rethan Abyss.
32,|cnWHITE_FONT_COLOR:Niffen Napping|r|nSeveral niffen have been kidnapped by the kobyss!
33,|cnWHITE_FONT_COLOR:Pheromone Fury|r|nKobyss have stolen crates of pheromones in order to ambush allies of the Weaver.
34,|cnWHITE_FONT_COLOR:NYI|r|n
35,|cnWHITE_FONT_COLOR:Kidnapped Earthen|r|nNerubians have kidnapped miners from Freywold Village!
36,|cnWHITE_FONT_COLOR:Precious Ores|r|nHelp reinvigorate weakened earthen to strike back against the nerubians.
37,|cnWHITE_FONT_COLOR:Fiery Grounds|r|nAid a stranded lamplighter to thwart the nerubian menace.
38,|cnWHITE_FONT_COLOR:NYI|r|n
39,|cnWHITE_FONT_COLOR:Lost Gems|r|nNerubians have stolen a cache of memory gems!
40,|cnWHITE_FONT_COLOR:Smashing Skardyn|r|nThe nerubians are using skardyn to kidnap machine speakers!
41,|cnWHITE_FONT_COLOR:Kobold Kidnapping|r|nA pair of friendly kobolds need aid rescuing their friends from Nerubians.
42,|cnWHITE_FONT_COLOR:NYI|r|n
43,|cnWHITE_FONT_COLOR:Old Rituals|r|nThe lamplighters need help thwarting a nerubian ritual happening deep in a forbidden temple.
44,"|cnWHITE_FONT_COLOR:Renilash Beckons|r|nThe Order of the Night have invaded the Skittering Breach, believing it plays a key in ushering in Renilash."
45,|cnWHITE_FONT_COLOR:NYI|r|n
46,"|cnWHITE_FONT_COLOR:Shadow Realm|r|nThe Skittering Breach is oddly quiet, save for a singular portal hovering inside."
47,|cnWHITE_FONT_COLOR:Tortured Hostages|r|nCaptives from all over Azeroth have been brought to the Spiral Weave to be tortured.
48,|cnWHITE_FONT_COLOR:From the Weaver with Love|r|nThe Weaver has a plan to disrupt operations within the Spiral Weave.
49,|cnWHITE_FONT_COLOR:Strange Disturbances|r|nThe nerubians within the Spiral Weave appear to be acting out of character.
50,|cnWHITE_FONT_COLOR:NYI|r|n
52,"|cnWHITE_FONT_COLOR:Zekvir's Power|r|nZekvir, Hand of the Harbinger, makes his vile home here. Only the strongest may challenge his might."
